"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-08",100.4242,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-09",100.4954,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-10",100.5958,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-11",100.543,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-12",100.4064,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-01",100.2464,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-02",100.2341,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-03",100.3158,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-04",100.4728,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-05",100.6566,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-06",100.7143,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-07",100.7175,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-08",100.7393,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.7185,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-10",100.6368,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-11",100.4561,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2007-12",100.2837,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-01",100.0896,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-02",99.7965,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-03",99.3743,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-04",98.7699,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-05",98.1475,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-06",97.5668,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-07",97.1927,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-08",97.1977,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-09",97.3095,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-10",97.335,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-11",97.2799,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2008-12",97.1085,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-01",96.9308,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-02",97.0749,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-03",97.4708,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-04",97.9038,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-05",98.246,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-06",98.586,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-07",98.8867,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-08",99.2067,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-09",99.6487,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-10",99.9226,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-11",100.0122,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2009-12",100.0327,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-01",100.1418,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-02",100.2212,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-03",100.1642,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-04",99.9951,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-05",99.7605,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-06",99.5498,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-07",99.3662,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-08",99.2377,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-09",99.0045,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-10",98.7948,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-11",98.5957,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.3981,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.1302,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-02",97.9712,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-03",97.8755,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-04",97.8967,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-05",98.1349,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-06",98.1529,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-07",97.9614,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-08",97.6711,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-09",97.4186,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-10",97.2608,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.2781,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2011-12",97.4018,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-01",97.595,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-02",97.6464,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-03",97.5558,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-04",97.4659,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-05",97.472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-06",97.5796,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-07",97.7479,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-08",97.8153,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-09",97.7942,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-10",97.8527,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-11",98.0551,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.1048,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.1011,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.0757,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.1456,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-04",98.2736,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-05",98.4963,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-06",98.862,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.3735,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.7051,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-09",99.8316,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-10",99.8127,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-11",99.7988,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.9669,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-01",100.2703,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-02",100.5017,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-03",100.7173,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.8899,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.9906,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-06",101.0477,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-07",101.0462,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-08",101.0359,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.9345,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.8852,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.8619,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.9499,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.1381,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.3134,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.4364,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-04",101.432,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-05",101.3474,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-06",101.4394,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-07",101.4986,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-08",101.4844,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-09",101.4331,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-10",101.4226,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-11",101.4578,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2015-12",101.5809,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-01",101.5879,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-02",101.4677,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-03",101.3289,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-04",101.1895,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-05",101.0331,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-06",100.7659,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-07",100.4068,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-08",100.404,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-09",100.6383,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-10",100.7401,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-11",100.6816,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.6259,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.5549,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-02",100.4909,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-03",100.4679,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.4475,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.3909,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-06",100.2795,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-07",100.2378,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.1979,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.1898,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.2159,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.2256,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2017-12",100.2383,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.2843,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.3583,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.424,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.4549,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.5348,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-06",100.5616,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-07",100.6142,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-08",100.5617,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-09",100.4409,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-10",100.3104,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-11",100.1399,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2018-12",99.9406,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-01",99.7541,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.6696,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.663,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.7648,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.9171,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.9717,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.9999,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.8752,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.8393,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.8835,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.0485,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.2486,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.4041,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.5219,
